Rubro Económico|Subtipo Rubro Económico|Código Actividad Económica|Actividad Económica|Afecto a IVA|Categoría Tributaria|Disponible Internet
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES AUXILIARES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES|661902|ADMINISTRACIÓN DE TARJETAS DE CRÉDITO|SI|1|SI
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES AUXILIARES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES|661903|EMPRESAS DE ASESORÍA Y CONSULTORÍA EN INVERSIÓN FINANCIERA; SOCIEDADES DE APOYO AL GIRO|SI|1|SI
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES AUXILIARES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES|661904|ACTIVIDADES DE CLASIFICADORAS DE RIESGO|SI|1|SI
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES AUXILIARES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES|661909|OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.|SI|1|SI
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SEGUROS Y FONDOS DE PENSIONES|662100|EVALUACIÓN DE RIESGOS Y DAÑOS (INCLUYE ACTIVIDADES DE LIQUIDADORES DE SEGUROS)|G|G|SI
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SEGUROS Y FONDOS DE PENSIONES|662200|ACTIVIDADES DE AGENTES Y CORREDORES DE SEGUROS|SI|1|SI
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SEGUROS Y FONDOS DE PENSIONES|662900|OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SEGUROS Y FONDOS DE PENSIONES|G|G|SI
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES DE GESTIÓN DE FONDOS|663010|ADMINISTRADORAS DE FONDOS DE PENSIONES (AFP)|SI|1|NO
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES DE GESTIÓN DE FONDOS|663091|ADMINISTRADORAS DE FONDOS DE INVERSIÓN|SI|1|SI
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES DE GESTIÓN DE FONDOS|663092|ADMINISTRADORAS DE FONDOS MUTUOS|SI|1|SI
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES DE GESTIÓN DE FONDOS|663093|ADMINISTRADORAS DE FICES (FONDOS DE INVERSIÓN DE CAPITAL EXTRANJERO)|SI|1|SI
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES DE GESTIÓN DE FONDOS|663094|ADMINISTRADORAS DE FONDOS PARA LA VIVIENDA|SI|1|SI
ACTIVIDADES FINANCIERAS Y DE SEGUROS|ACTIVIDADES DE GESTIÓN DE FONDOS|663099|ADMINISTRADORAS DE FONDOS PARA OTROS FINES N.C.P.|SI|1|SI
ACTIVIDADES INMOBILIARIAS|ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS|681011|ALQUILER DE BIENES INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS|SI|1|SI
ACTIVIDADES INMOBILIARIAS|ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS|681012|COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES|G|1|SI
ACTIVIDADES INMOBILIARIAS|ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS|681020|SERVICIOS IMPUTADOS DE ALQUILER DE VIVIENDAS|G|1|SI
ACTIVIDADES INMOBILIARIAS|ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA|682000|ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES JURÍDICAS|691001|SERVICIOS DE ASESORAMIENTO Y REPRESENTACIÓN JURÍDICA|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES JURÍDICAS|691002|SERVICIO NOTARIAL|NO|2|NO
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES JURÍDICAS|691003|CONSERVADOR DE BIENES RAÍCES|NO|2|NO
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES JURÍDICAS|691004|RECEPTORES JUDICIALES|NO|2|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES JURÍDICAS|691009|SERVICIOS DE ARBITRAJE; SÍNDICOS DE QUIEBRA Y PERITOS JUDICIALES; OTRAS ACTIVIDADES JURÍDICAS N.C.P.|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS Y AUDITORÍA; CONSULTORÍA FISCAL|692000|ACTIVIDADES DE CONTABILIDAD, TENEDURÍA DE LIBROS Y AUDITORÍA; CONSULTORÍA FISCAL|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES DE OFICINAS PRINCIPALES|701000|ACTIVIDADES DE OFICINAS PRINCIPALES|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES DE CONSULTORÍA DE GESTIÓN|702000|ACTIVIDADES DE CONSULTORÍA DE GESTIÓN|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA|711001|SERVICIOS DE ARQUITECTURA (DISEÑO DE EDIFICIOS, DIBUJO DE PLANOS DE CONSTRUCCIÓN, ENTRE OTROS)|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA|711002|EMPRESAS DE SERVICIOS DE INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA|SI|1|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA|711003|SERVICIOS PROFESIONALES DE INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ENSAYOS Y ANÁLISIS TÉCNICOS|712001|ACTIVIDADES DE PLANTAS DE REVISIÓN TÉCNICA PARA VEHÍCULOS AUTOMOTORES|SI|1|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ENSAYOS Y ANÁLISIS TÉCNICOS|712009|OTROS SERVICIOS DE ENSAYOS Y ANÁLISIS TÉCNICOS (EXCEPTO ACTIVIDADES DE PLANTAS DE REVISIÓN TÉCNICA)|SI|1|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA|721000|INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA|SI|1|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS SOCIALES Y LAS HUMANIDADES|722000|INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS SOCIALES Y LAS HUMANIDADES|SI|1|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|PUBLICIDAD|731001|SERVICIOS DE PUBLICIDAD PRESTADOS POR EMPRESAS|SI|1|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|PUBLICIDAD|731002|SERVICIOS DE PUBLICIDAD PRESTADOS POR PROFESIONALES|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ESTUDIOS DE MERCADO Y ENCUESTAS DE OPINIÓN PÚBLICA|732000|ESTUDIOS DE MERCADO Y ENCUESTAS DE OPINIÓN PÚBLICA|G|G|S
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES ESPECIALIZADAS DE DISEÑO|741001|ACTIVIDADES DE DISEÑO DE VESTUARIO|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES ESPECIALIZADAS DE DISEÑO|741002|ACTIVIDADES DE DISEÑO Y DECORACIÓN DE INTERIORES|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES ESPECIALIZADAS DE DISEÑO|741009|OTRAS ACTIVIDADES ESPECIALIZADAS DE DISEÑO N.C.P.|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES DE FOTOGRAFÍA|742001|SERVICIOS DE REVELADO, IMPRESIÓN Y AMPLIACIÓN DE FOTOGRAFÍAS|SI|1|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES DE FOTOGRAFÍA|742002|SERVICIOS Y ACTIVIDADES DE FOTOGRAFÍA|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES DE FOTOGRAFÍA|742003|SERVICIOS PERSONALES DE FOTOGRAFÍA|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P.|749001|ASESORÍA Y GESTIÓN EN LA COMPRA O VENTA DE PEQUEÑAS Y MEDIANAS EMPRESAS|SI|1|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P.|749002|SERVICIOS DE TRADUCCIÓN E INTERPRETACIÓN PRESTADOS POR EMPRESAS|NO|1|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P.|749003|SERVICIOS PERSONALES DE TRADUCCIÓN E INTERPRETACIÓN|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P.|749004|ACTIVIDADES DE AGENCIAS Y AGENTES DE REPRESENTACIÓN DE ACTORES, DEPORTISTAS Y OTRAS FIGURAS PÚBLICAS|SI|1|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P.|749009|OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P.|G|G|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES VETERINARIAS|750001|ACTIVIDADES DE CLÍNICAS VETERINARIAS|SI|1|SI
ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TÉCNICAS|ACTIVIDADES VETERINARIAS|750002|ACTIVIDADES DE VETERINARIOS, TÉCNICOS Y OTRO PERSONAL AUXILIAR, PRESTADOS DE FORMA INDEPENDIENTE|NO|2|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ALQUILER Y ARRENDAMIENTO DE VEHÍCULOS AUTOMOTORES|771000|ALQUILER DE VEHÍCULOS AUTOMOTORES SIN CHOFER|SI|1|S
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ALQUILER Y ARRENDAMIENTO DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS|772100|ALQUILER Y ARRENDAMIENTO DE EQUIPO RECREATIVO Y DEPORTIVO|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ALQUILER Y ARRENDAMIENTO DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS|772200|ALQUILER DE CINTAS DE VIDEO Y DISCOS|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ALQUILER Y ARRENDAMIENTO DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS|772900|ALQUILER DE OTROS EFECTOS PERSONALES Y ENSERES DOMÉSTICOS (INCLUYE MOBILIARIO PARA EVENTOS)|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES|773001|ALQUILER DE EQUIPOS DE TRANSPORTE SIN OPERARIO, EXCEPTO VEHÍCULOS AUTOMOTORES|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES|773002|ALQUILER DE MAQUINARIA Y EQUIPO AGROPECUARIO, FORESTAL, DE CONSTRUCCIÓN E ING. CIVIL, SIN OPERARIOS|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES|773003|ALQUILER DE MAQUINARIA Y EQUIPO DE OFICINA, SIN OPERARIOS (SIN SERVICIO ADMINISTRATIVO)|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES|773009|ALQUILER DE OTROS TIPOS DE MAQUINARIAS Y EQUIPOS SIN OPERARIO N.C.P.|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ARRENDAMIENTO DE PROPIEDAD INTELECTUAL Y SIMILARES, EXCEPTO OBRAS PROTEGIDAS POR DERECHOS DE AUTOR|774000|ARRENDAMIENTO DE PROPIEDAD INTELECTUAL Y SIMILARES, EXCEPTO OBRAS PROTEGIDAS POR DERECHOS DE AUTOR|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE AGENCIAS DE EMPLEO|781000|ACTIVIDADES DE AGENCIAS DE EMPLEO|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE AGENCIAS DE EMPLEO TEMPORAL|782000|ACTIVIDADES DE AGENCIAS DE EMPLEO TEMPORAL (INCLUYE EMPRESAS DE SERVICIOS TRANSITORIOS)|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|OTRAS ACTIVIDADES DE DOTACIÓN DE RECURSOS HUMANOS|783000|OTRAS ACTIVIDADES DE DOTACIÓN DE RECURSOS HUMANOS|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE AGENCIAS DE VIAJES Y OPERADORES TURÍSTICOS|791100|ACTIVIDADES DE AGENCIAS DE VIAJES|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE AGENCIAS DE VIAJES Y OPERADORES TURÍSTICOS|791200|ACTIVIDADES DE OPERADORES TURÍSTICOS|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|OTROS SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS|799000|OTROS SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS (INCLUYE VENTA DE ENTRADAS PARA TEATRO, Y OTROS)|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE SEGURIDAD PRIVADA|801001|SERVICIOS DE SEGURIDAD PRIVADA PRESTADOS POR EMPRESAS|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE SEGURIDAD PRIVADA|801002|SERVICIO DE TRANSPORTE DE VALORES EN VEHÍCULOS BLINDADOS|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE SEGURIDAD PRIVADA|801003|SERVICIOS DE SEGURIDAD PRIVADA PRESTADOS POR INDEPENDIENTES|NO|2|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD|802000|ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD (INCLUYE SERVICIOS DE CERRAJERÍA)|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE INVESTIGACIÓN|803000|ACTIVIDADES DE INVESTIGACIÓN (INCLUYE ACTIVIDADES DE INVESTIGADORES Y DETECTIVES PRIVADOS)|G|G|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES COMBINADAS DE APOYO A INSTALACIONES|811000|ACTIVIDADES COMBINADAS DE APOYO A INSTALACIONES|G|G|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE LIMPIEZA|812100|LIMPIEZA GENERAL DE EDIFICIOS|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE LIMPIEZA|812901|DESRATIZACIÓN, DESINFECCIÓN Y EXTERMINIO DE PLAGAS NO AGRÍCOLAS|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE LIMPIEZA|812909|OTRAS ACTIVIDADES DE LIMPIEZA DE EDIFICIOS E INSTALACIONES INDUSTRIALES N.C.P.|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE PAISAJISMO Y SERVICIOS DE MANTENIMIENTO CONEXOS|813000|ACTIVIDADES DE PAISAJISMO, SERVICIOS DE JARDINERÍA Y SERVICIOS CONEXOS|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA|821100|ACTIVIDADES COMBINADAS DE SERVICIOS ADMINISTRATIVOS DE OFICINA|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA|821900|FOTOCOPIADO, PREPARACIÓN DE DOCUMENTOS Y OTRAS ACTIVIDADES ESPECIALIZADAS DE APOYO DE OFICINA|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE CALL-CENTER|822000|ACTIVIDADES DE CALL-CENTER|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ORGANIZACIÓN DE CONVENCIONES Y EXPOSICIONES COMERCIALES|823000|ORGANIZACIÓN DE CONVENCIONES Y EXPOSICIONES COMERCIALES|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.|829110|ACTIVIDADES DE AGENCIAS DE COBRO|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.|829120|ACTIVIDADES DE AGENCIAS DE CALIFICACIÓN CREDITICIA|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.|829200|ACTIVIDADES DE ENVASADO Y EMPAQUETADO|SI|1|SI
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO|ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.|829900|OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.|SI|1|SI
ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA|ADMINISTRACIÓN DEL ESTADO Y APLICACIÓN DE LA POLÍTICA ECONÓMICA Y SOCIAL DE LA COMUNIDAD|841100|ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA EN GENERAL|SI|1|NO
ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA|ADMINISTRACIÓN DEL ESTADO Y APLICACIÓN DE LA POLÍTICA ECONÓMICA Y SOCIAL DE LA COMUNIDAD|841200|REGULACIÓN DE LAS ACTIVIDADES DE ORGANISMOS QUE PRESTAN SERVICIOS SANITARIOS, EDUCATIVOS, CULTURALES|SI|1|NO
ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA|ADMINISTRACIÓN DEL ESTADO Y APLICACIÓN DE LA POLÍTICA ECONÓMICA Y SOCIAL DE LA COMUNIDAD|841300|REGULACIÓN Y FACILITACIÓN DE LA ACTIVIDAD ECONÓMICA|SI|1|NO
ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA|PRESTACIÓN DE SERVICIOS A LA COMUNIDAD EN GENERAL|842100|RELACIONES EXTERIORES|G|1|NO
ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA|PRESTACIÓN DE SERVICIOS A LA COMUNIDAD EN GENERAL|842200|ACTIVIDADES DE DEFENSA|G|1|NO
ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA|PRESTACIÓN DE SERVICIOS A LA COMUNIDAD EN GENERAL|842300|ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PÚBLICO Y DE SEGURIDAD|G|1|NO
ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA|ACTIVIDADES DE PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA|843010|FONDO NACIONAL DE SALUD (FONASA)|G|1|NO
ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA|ACTIVIDADES DE PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA|843020|INSTITUTO DE PREVISIÓN SOCIAL (IPS)|G|1|NO
ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA|ACTIVIDADES DE PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA|843090|OTROS PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA N.C.P.|G|1|NO
ENSEÑANZA|ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL|850011|ENSEÑANZA PREESCOLAR PÚBLICA|NO|1|SI
ENSEÑANZA|ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL|850012|ENSEÑANZA PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL PÚBLICA|NO|1|SI
ENSEÑANZA|ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL|850021|ENSEÑANZA PREESCOLAR PRIVADA|NO|1|SI
ENSEÑANZA|ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL|850022|ENSEÑANZA PRIMARIA, SECUNDARIA CIENTÍFICO HUMANISTA Y TÉCNICO PROFESIONAL PRIVADA|NO|1|SI
ENSEÑANZA|ENSEÑANZA SUPERIOR|853110|ENSEÑANZA SUPERIOR EN UNIVERSIDADES PÚBLICAS|NO|1|NO
ENSEÑANZA|ENSEÑANZA SUPERIOR|853120|ENSEÑANZA SUPERIOR EN UNIVERSIDADES PRIVADAS|NO|1|NO
ENSEÑANZA|ENSEÑANZA SUPERIOR|853201|ENSEÑANZA SUPERIOR EN INSTITUTOS PROFESIONALES|NO|1|NO
ENSEÑANZA|ENSEÑANZA SUPERIOR|853202|ENSEÑANZA SUPERIOR EN CENTROS DE FORMACIÓN TÉCNICA|NO|1|SI
ENSEÑANZA|OTROS TIPOS DE ENSEÑANZA|854100|ENSEÑANZA DEPORTIVA Y RECREATIVA|SI|1|SI
ENSEÑANZA|OTROS TIPOS DE ENSEÑANZA|854200|ENSEÑANZA CULTURAL|NO|G|SI
ENSEÑANZA|OTROS TIPOS DE ENSEÑANZA|854901|ENSEÑANZA PREUNIVERSITARIA|NO|1|SI
ENSEÑANZA|OTROS TIPOS DE ENSEÑANZA|854902|SERVICIOS PERSONALES DE EDUCACIÓN|NO|2|SI
ENSEÑANZA|OTROS TIPOS DE ENSEÑANZA|854909|OTROS TIPOS DE ENSEÑANZA N.C.P.|NO|1|SI
ENSEÑANZA|ACTIVIDADES DE APOYO A LA ENSEÑANZA|855000|ACTIVIDADES DE APOYO A LA ENSEÑANZA|G|G|SI
ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL|ACTIVIDADES DE HOSPITALES PÚBLICOS Y PRIVADOS|861010|ACTIVIDADES DE HOSPITALES Y CLÍNICAS PÚBLICAS|SI|1|NO
ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL|ACTIVIDADES DE HOSPITALES PÚBLICOS Y PRIVADOS|861020|ACTIVIDADES DE HOSPITALES Y CLÍNICAS PRIVADAS|SI|1|SI
ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL|ACTIVIDADES DE MÉDICOS Y ODONTÓLOGOS|862010|ACTIVIDADES DE CENTROS DE SALUD MUNICIPALIZADOS (SERVICIOS DE SALUD PÚBLICA)|G|1|SI
